FullRunName,Age_Days,Strain,Diet,Sex,EarTag,RunDate,RunTime,digestion_batch,MS_batch,DateTime,order
I170925_BXD66_HF_ET1560_SW_Run001,367,BXD66,HF,F,ET1560,Oct_05,18:35:00,1,Batch_1,2023-10-05T22:35:00Z,1
I170925_BXD101_CD_ET1424_SW_Run002,349,BXD101,CD,F,ET1424,Oct_05,20:12:00,1,Batch_1,2023-10-06T00:12:00Z,2
I170925_BXD63_HF_ET1715_SW_Run003,186,BXD63,HF,F,ET1715,Oct_05,21:50:00,1,Batch_1,2023-10-06T01:50:00Z,3
I170925_BXD61_HF_ET1721_SW_Run004,188,BXD61,HF,F,ET1721,Oct_05,23:28:00,1,Batch_1,2023-10-06T03:28:00Z,4
I170925_BXD61_CD_ET1725_SW_Run005,188,BXD61,CD,F,ET1725,Oct_06,01:51:00,1,Batch_1,2023-10-06T05:51:00Z,5
I170925_BXD65b_HF_ET1707_SW_Run006,187,BXD65b,HF,F,ET1707,Oct_06,03:29:00,1,Batch_1,2023-10-06T07:29:00Z,6
I170925_BXD102_HF_ET1365_SW_Run007,351,BXD102,HF,M,ET1365,Oct_06,05:07:00,1,Batch_1,2023-10-06T09:07:00Z,7
I170925_BXD65b_CD_ET1710_SW_Run008,187,BXD65b,CD,F,ET1710,Oct_06,06:45:00,1,Batch_1,2023-10-06T10:45:00Z,8
I170925_BXD29_HF_ET1037_SW_Run009,630,BXD29,HF,F,ET1037,Oct_06,09:07:00,1,Batch_1,2023-10-06T13:07:00Z,9
I170925_BXD101_CD_ET1425_SW_Run010,349,BXD101,CD,F,ET1425,Oct_06,10:45:00,1,Batch_1,2023-10-06T14:45:00Z,10
I170925_BXD48a_CD_ET1189_SW_Run011,604,BXD48a,CD,F,ET1189,Oct_06,12:23:00,1,Batch_1,2023-10-06T16:23:00Z,11
I170925_DBA2J_CD_ET1818_SW_Run012,764,DBA2J,CD,F,ET1818,Oct_06,14:01:00,1,Batch_1,2023-10-06T18:01:00Z,12
I171006_BXD32_CD_ET2494_SW_Run013,386,BXD32,CD,F,ET2494,Oct_06,16:24:00,1,Batch_1,2023-10-06T20:24:00Z,13
I171006_BXD39_HF_ET1474_SW_Run014,350,BXD39,HF,F,ET1474,Oct_06,18:02:00,1,Batch_1,2023-10-06T22:02:00Z,14
